date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:02	117/117	---MCZ	200	added ('OK')	text/plain	date:Wed,%2011%20Dec%202024%2014:05:02%20GMT	https://b-f-p.co.uk/robots.txt		(from )
14:05:02	141280/-1	---M--	200	added ('OK')	text/html	date:Wed,%2011%20Dec%202024%2014:05:02%20GMT	https://b-f-p.co.uk/	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/index.html	(from )
14:05:04	693/693	---MC-	200	added ('OK')	application/rss+xml	etag:%2206ad56a647201c09382bc1323eabe12b%22	https://b-f-p.co.uk/comments/feed/	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/comments/feed/index.html	(from https://b-f-p.co.uk/)
14:05:04	39014/39014	---MCZ	200	added ('OK')	text/css	etag:W/%226753b371-9866%22	https://b-f-p.co.uk/wp-content/themes/neve/style-main-new.min.css?ver=3.8.16	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/themes/neve/style-main-new.min3258.css	(from https://b-f-p.co.uk/)
14:05:04	4082/4082	---MC-	200	added ('OK')	application/rss+xml	etag:%2206ad56a647201c09382bc1323eabe12b%22	https://b-f-p.co.uk/feed/	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/feed/index.html	(from https://b-f-p.co.uk/)
14:05:04	700/700	---MC-	200	added ('OK')	application/rss+xml	etag:%2206ad56a647201c09382bc1323eabe12b%22	https://b-f-p.co.uk/home/feed/	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/home/feed/index.html	(from https://b-f-p.co.uk/)
14:05:04	60575/60575	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-ec9f%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.10	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/css/frontend.min18be.css	(from https://b-f-p.co.uk/)
14:05:05	704/704	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-2c0%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-text-editor.min.css?ver=3.25.10	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-text-editor.min18be.css	(from https://b-f-p.co.uk/)
14:05:05	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-fe%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.25.10	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-image.min18be.css	(from https://b-f-p.co.uk/)
14:05:05	26793/26793	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb9-68a9%22	https://b-f-p.co.uk/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.25.4	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min401f.css	(from https://b-f-p.co.uk/)
14:05:05	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%22674c1cb8-258%22	https://b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.10	C:/My%20Web%20Sites/BFP%20Site/b-f-p.co.uk/wp-content/plugins/elementor/assets/css/widget-heading.min18be.css	(from https://b-f-p.co.uk/)
